形　名,入　力[VA],,"消費電力
[W]","コイル電流
[mA]",動作電圧[V],,動　作　時　間[ms],,"操作トランス容量
[VA]"
,瞬　時,常　時,,,動　作,開　放,コイルON→主接点ON,コイルOFF→主接点OFF,
S-T10、T12,45,7,2.2,30,120～150,75～115,12～18,5～20,15～30
S-T20,45,7,2.2,30,120～150,75～115,12～18,5～20,15～30
S-T21、T25,75,7,2.4,30,125～155,80～115,13～20,5～15,15～30
S-T32,55,4.5,1.8,20,125～155,80～115,15～22,5～15,15～30
S-T35、T50,110,10,3.8,45,120～150,80～115,10～20,5～14,30～50
S-T65、T80,115,20,2.2,67,110～135,60～100,20～30,35～65,30～50
S-T100,210,23,2.8,85,110～135,60～100,20～35,50～100,50～75
S-N125,270,24,2.9,100,110～135,70～105,20～30,60～110,75～100
S-N150,270,24,2.9,100,110～135,70～105,22～32,60～110,75～100
S-N180、N220,440,40,4.2,165,110～135,70～105,25～35,70～130,100～150
S-N300、N400,440,50,6.1,200,110～135,70～105,30～40,90～150,100～150
S-N600AB、N800AB,790,90,17.0,340,120～140,60～90,75～105,57～93,150～250
S-T65QM、T80QM,115,20,2.2,67,110～135,60～100,20～30,12～30,30～50
S-T100QM,210,23,2.8,85,110～135,60～100,20～35,13～30,50～75
S-N125QM,270,24,2.9,100,110～135,70～105,20～30,15～30,75～100
S-N150QM,270,24,2.9,100,110～135,70～105,22～32,15～30,75～100
S-N180QM、N220QM,440,40,4.2,165,110～135,70～105,25～35,20～40,100～150
S-N300QM、N400QM,440,50,6.1,200,110～135,70～105,30～40,20～40,100～150
