形　名,"消費電力
[W]","コイル電流
[A]","コイル時定数
[ms]",動作電圧[V],,動　作　時　間[ms],
,,,,動　作,開　放,"コイルON→
主接点ON","コイルOFF→
主接点OFF"
SD-T12,3.3(2.2),0.033,40(45),60～75,10～30,60(85),10
SD-T20,3.3(2.2),0.033,40(45),60～75,10～30,60(85),10
SD-T21,3.3(2.2),0.033,50(40),60～75,10～30,65(90),20
SD-T32,3.3(2.2),0.033,50(40),60～75,10～30,70(95),20
SD-T35、T50,9,0.09,40,50～65,15～35,50,8
SD-T65、T80,18,0.18,65,52～63,20～35,50,13
SD-T100,24,0.24,80,50～65,15～30,75,18
SD-N125,31,0.31,100,50～63,16～28,125,22
SD-N150,31,0.31,100,50～63,17～30,135,37
SD-N220,41,0.41,125,52～61,12～25,145,40
SD-N300、N400,55,0.55,220,53～62,12～25,175,55
SD-N600AB、N800AB,72(600),0.72(6.0),50,58～66,23～42,140,100
