フレーム,"定格使用電圧
[V]","定格使用電流
[A]",閉路，遮断電流容量[A],,交流操作形（S-□）,,,直流操作形（SD-□）,,,機械ラッチ式（SL(D)-□）,,
,,,,,"開閉頻度
[回/時]
AC-3級",開閉耐久性[万回]（注1） 開閉頻度,,"[回/時]
AC-3級",開閉耐久性[万回]（注1） 開閉頻度,,"[回/時]
AC-3級",開閉耐久性[万回]（注1）,
,,,閉路,遮断,,機械的,"電気的
（AC-3級）",,機械的,"電気的
（AC-3級）",,機械的,"電気的
（AC-3級）"
T10,220,11,110,88,1800,1000,200,－,－,－,－,－,－
,440,7,90,72,,,,,,,,,
T12,220,13,130,104,1800,1000,200,1800,1000,200,－,－,－
,440,9,120,96,,,,,,,,,
T20,220,18,180,144,1800,1000,200,1800,1000,200,－,－,－
,440,18,180,144,,,100,,,100,,,
T21,220,20,250,200,1800,1000,200,1800,1000,200,1200,50,50
,440,20,230,184,,,,,,,,,
T25,220,26,300,240,1800,1000,200,－,－,－,－,－,－
,440,25,300,240,,,,,,,,,
T32,220,32,320,256,1800,1000,200,1800,1000,200,－,－,－
,440,32,320,256,,,,,,,,,
T35,220,35,400,320,1800,1000,200,1800,1000,200,1200,50,50
,440,32,400,320,,,,,,,,,
T50,220,50,550,440,1200,1000,200,1200,1000,200,1200,25,25
,440,48,500,400,,,,,,,,,
T65,220,65,650,520,1200,500,200,1200,500,200,1200,25,25
,440,65,650,520,,,,,,,,,
T80,220,80,850,680,1200,500,100,1200,500,100,1200,25,25
,440,80,850,680,,,,,,,,,
T100,220,100,1050,840,1200,500,100,1200,500,100,1200,25,25
,440,93,1050,840,,,,,,,,,
N125,220,125,1250,1000,1200,500,100,1200,500,100,1200,25,25
,440,120,1200,960,,,,,,,,,
N150,220,150,1500,1200,1200,500,100,1200,500,100,1200,25,25
,440,150,1500,1200,,,,,,,,,
N180,220,180,1800,1440,1200,500,100,－,－,－,－,－,－
,440,180,1800,1440,,,,,,,,,
N220,220,220,2500,2000,1200,500,100,1200,500,100,1200,25,25
,440,220,2500,2000,,,,,,,,,
N300,220,300,3000,2400,1200,500,100,1200,500,100,1200,25,25
,440,300,3000,2400,,,,,,,,,
N400,220,400,4000,3200,1200,500,50,1200,500,50,1200,25,25
,440,400,4000,3200,,,,,,,,,
N600AB,220,630,6300,5040,1200,500,50,1200,500,50,1200,10,10
,440,630,6300,5040,,,,,,,,,
N800AB,220,800,8000,6400,1200,500,50,1200,500,50,1200,10,10
,440,800,8000,6400,,,,,,,,,
