"モータ
容量
[kW]",200～220V,,,,,,,,,,,,,,,,,,"モータ
容量
[kW]",400～440V,,,,,,,,,,,,,,,,,
,"ヒータ呼び[A]
(整定電流の調整範囲)",電磁開閉器フレーム,,,,,,,,,,,,,,,,,,"ヒータ呼び[A]
(整定電流の調整範囲)",電磁開閉器フレーム,,,,,,,,,,,,,,,,
(0.015),"0.12
(0.1～0.16)",T10,T12,T20,,,,,,,,,,,,,,,(0.015),―,,,,,,,,,,,,,,,,,
(0.025),"0.17
(0.14～0.22)",,,,,,,,,,,,,,,,,,(0.025),―,,,,,,,,,,,,,,,,,
(0.03),"0.24
(0.2～0.32)",,,T20､T21,T25,T35,T50,,,,,,,,,,,,(0.03),―,,,,,,,,,,,,,,,,,
(0.035),"0.35
(0.28～0.42)",,,,,,,,,,,,,,,,,,(0.035),―,,,,,,,,,,,,,,,,,
0.05,"0.35
(0.28～0.42)",,,,,,,,,,,,,,,,,,0.05,"0.24
(0.2～0.32)",T10,T12,T20､T21,T25,T35,T50,,,,,,,,,,,
(0.07),"0.5
(0.4～0.6)",,,,,,,,,,,,,,,,,,(0.07),"0.35
(0.28～0.42)",,,,,,,,,,,,,,,,,
0.1,"0.7
(0.55～0.85)",,,,,,,,,,,,,,,,,,0.1,"0.35
(0.28～0.42)",,,,,,,,,,,,,,,,,
(0.15),"0.9
(0.7～1.1)",,,,,,,,,,,,,,,,,,(0.15),"0.5
(0.4～0.6)",,,,,,,,,,,,,,,,,
0.2,"1.3
(1～1.6)",,,,,,,,,,,,,,,,,,0.2,"0.7
(0.55～0.85)",,,,,,,,,,,,,,,,,
(0.3),"1.7
(1.4～2)",,,,,,,,,,,,,,,,,,(0.3),"0.9
(0.7～1.1)",,,,,,,,,,,,,,,,,
0.4,"2.1
(1.7～2.5)",,,,,,,,,,,,,,,,,,0.4,"1.3
(1～1.6)",,,,,,,,,,,,,,,,,
(0.55),"2.5
(2～3)",,,,,,,,,,,,,,,,,,(0.55),"1.3
(1～1.6)",,,,,,,,,,,,,,,,,
0.75,"3.6
(2.8～4.4)",,,,,,,,,,,,,,,,,,0.75,"1.7
(1.4～2)",,,,,,,,,,,,,,,,,
(1),"5
(4～6)",,,,,,,,,,,,,,,,,,(1),"2.5
(2～3)",,,,,,,,,,,,,,,,,
1.5,"6.6
(5.2～8)",,,,,,,,,,,,,,,,,,1.5,"3.6
(2.8～4.4)",,,,,,,,,,,,,,,,,
(1.9)2.2,"9
(7～11)",,,,,,,,,,,,,,,,,,(1.9)2.2,"5
(4～6)",,,,,,,,,,,,,,,,,
(2.5),"11
(9～13)",,,,,,,,,,,,,,,,,,(2.5),"5
(4～6)",,,,,,,,,,,,,,,,,
(3),"11
(9～13)",,,,,,,,,,,,,,,,,,(3),"6.6
(5.2～8)",,,,,,,,,,,,,,,,,
3.7,"15
(12～18)",,,,,,,T65,T80,T100,,,,,,,,,3.7,"6.6
(5.2～8)",,,,,,,,,,,,,,,,,
5.5,"22
(18～26)",,,,,,,,,,,,,,,,,,5.5,"11
(9～13)",,,,,,,,,,,,,,,,,
7.5,"29
(24～34)",,,,,,,,,,,,,,,,,,7.5,"15
(12～18)",,,,,,,T65,T80,T100,,,,,,,,
(9),"35
(30～40)",,,,,,,,,,,,,,,,,,(9),"15
(12～18)",,,,,,,,,,,,,,,,,
11,"42
(34～50)",,,,,,,,,,N125,N150,,,,,,,11,"22
(18～26)",,,,,,,,,,,,,,,,,
15,"54
(43～65)",,,,,,,,,,,,,,,,,,15,"29
(24～34)",,,,,,,,,,,,,,,,,
18.5,"67
(54～80)",,,,,,,,,,,,,,,,,,18.5,"35
(30～40)",,,,,,,,,,,,,,,,,
22,"82
(65～100)",,,,,,,,,,,,N180,N220,,,,,22,"42
(34～50)",,,,,,,,,,N125,N150,,,,,,
30,"105
(85～125)",,,,,,,,,,,,,,N300,N400,,,30,"54
(43～65)",,,,,,,,,,,,,,,,,
37,"125
(100～150)",,,,,,,,,,,,,,,,,,37,"67
(54～80)",,,,,,,,,,,,,,,,,
45,"150
(120～180)",,,,,,,,,,,,,,,,,,45,"82
(65～100)",,,,,,,,,,,,N180,N220,,,,
(50),"180
(140～220)",,,,,,,,,,,,,,,,,,(50),"105
(85～125)",,,,,,,,,,,,,,N300,N400,,
55,"180
(140～220)",,,,,,,,,,,,,,,,,,55,"105
(85～125)",,,,,,,,,,,,,,,,,
(60),"180
(140～220)",,,,,,,,,,,,,,,,,,(60),"105
(85～125)",,,,,,,,,,,,,,,,,
75,"250
(200～300)",,,,,,,,,,,,,,,,,,75,"125
(100～150)",,,,,,,,,,,,,,,,,
90,"330
(260～400)",,,,,,,,,,,,,,,,N600AB,N800AB,90,"150
(120～180)",,,,,,,,,,,,,,,,,
110,"330
(260～400)",,,,,,,,,,,,,,,,,,110,"180
(140～220)",,,,,,,,,,,,,,,,,
132,"500
(400～600)",,,,,,,,,,,,,,,,,,132,"250
(200～300)",,,,,,,,,,,,,,,,N600AB,N800AB
150,"500
(400～600)",,,,,,,,,,,,,,,,,,150,"250
(200～300)",,,,,,,,,,,,,,,,,
160,"500
(400～600)",,,,,,,,,,,,,,,,,,160,"250
(200～300)",,,,,,,,,,,,,,,,,
200,"660
(520～800)",,,,,,,,,,,,,,,,,,200,"330
(260～400)",,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,300,"500
(400～600)",,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,400,"660
(520～800)",,,,,,,,,,,,,,,,,
