"モータ容量
[kW]",100～110V,,,,,,200～220V,,,,,
,"ヒータ呼び[A]
(整定電流の調整範囲)",電磁開閉器フレーム,,,,,"ヒータ呼び[A]
(整定電流の調整範囲)",電磁開閉器フレーム,,,,
0.035,"1.7
(1.4～2)",T10,T12,T20､T21,T25,T35,"0.9
(0.7～1.1)",T10,T12,T20､T21,T25,T35
0.065,"2.5
(2～3)",,,,,,"1.3
(1～1.6)",,,,,
0.1,"3.6
(2.8～4.4)",,,,,,"1.7
(1.4～2)",,,,,
0.15,"5
(4～6)",,,,,,"2.5
(2～3)",,,,,
0.2,"5
(4～6)",,,,,,"2.5
(2～3)",,,,,
0.25,"6.6
(5.2～8)",,,,,,"3.6
(2.8～4.4)",,,,,
0.3,"6.6
(5.2～8)",,,,,,"3.6
(2.8～4.4)",,,,,
0.4,"9
(7～11)",,,,,,"5
(4～6)",,,,,
0.55,"11
(9～13)",,,,,,"5
(4～6)",,,,,
0.75,"15
(12～18)",,,,,,"6.6
(5.2～8)",,,,,
