区　　分,寸動運転を含む場合の三相モータ適用容量[kW],,,,,,,,,,,,逆相制動の定格容量[kW],,,
主回路電圧,200～220V,,,,,,380～440V,,,,,,200～220V,,380～440V,
寸動の％,10%,,50%,,100%,,10%,,50%,,100%,,逆相制動100%,,逆相制動100%,
"電気的耐久性
フレーム",,10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回,,,,,,,,,,,,,,
T10,2.2,1,1,0.5,0.75,0.3,2.7,1.5,1.5,0.75,1.1,0.5,－,－,－,－
T12,2.7,1.5,1.5,0.75,1.1,0.5,4,2.2,3.7,1.5,2.2,1.1,0.75,0.4,1,0.4
T20,3.7,2.7,2.7,1.1,1.5,0.75,4,3.7,4,2.2,3.7,1.5,1.5,0.5,2.2,0.75
T21,4,3.7,3.7,1.5,2.5,1.1,7.5,7.5,7.5,3.7,5.5,2.2,2.2,0.75,3.7,1.5
T25,5.5,4.5,4.5,2.2,4.5,1.8,11,9,9,4.5,7.5,3.7,2.5,1.1,4.5,2.2
T35,7.5,5.5,5.5,3.7,4.5,2.7,11,9,9,4.5,7.5,3.7,3.7,1.5,4.5,2.2
T50,11,7.5,7.5,3.7,5.5,3.7,22,15,15,7.5,11,5.5,5.5,2.2,7.5,3.7
T65,15,11,11,5.5,7.5,4,30,22,22,11,15,7.5,7.5,3,11,5.5
T80,19,15,15,7.5,11,5.5,37,30,30,15,22,11,9,3.7,18.5,7.5
T100,22,15,19,9,11,5.5,45,37,37,18.5,25,13,11,4.5,22,11
N125,30,22,22,9,15,7.5,60,45,45,22,30,15,15,5.5,30,15
N150,37,25,30,11,19,9,75,55,55,30,45,22,19,7.5,37,19
N180,45,30,37,15,25,11,90,75,75,37,55,25,22,11,45,22
N220,55,37,45,19,30,15,110,90,90,37,60,30,25,13,45,25
N300,75,50,55,25,37,22,150,125,132,50,75,37,37,18.5,55,30
N400,110,65,75,30,45,25,200,132,150,75,110,55,45,22,75,37
N600AB,160,75,90,37,55,37,300,150,190,90,132,75,55,30,110,45
N800AB,200,132,150,45,75,45,400,190,220,110,160,90,75,37,150,75
