主回路電圧,モータ容量[kW],選　　定　　フ　　レ　　ー　　ム,,,,,
,,50万回,100万回,150万回,200万回,300万回,500万回
"三相･
AC200～240V",0.75,T10,T10,T10,T10,T10,T10
,1.5,T10,T10,T10,T12,T20,T25
,2.2,T10,T10,T12,T20,T21,T25
,3.7,T20,T20,T20,T25,T25,T35
,5.5,T25,T25,T25,T32､T35,T50,T50
,7.5,T32､T35,T32､T35,T50,T50,T65,T100
,11,T50,T50,T65,T65,T100,N150
,15,T65,T65,T100,T100,N150,N180
,18.5,T80,T100,N125,N150,N180,N220
,22,T100,N125,N150,N180,N220,N300
,30,N125,N150,N180,N220,N300,N600AB
,37,N150,N180,N220,N300,N600AB,N600AB
,45,N180,N220,N300,N600AB,N600AB,N800AB
,55,N220,N300,N600AB,N600AB,N800AB,－
"三相･
AC380～440V",0.75,T10,T10,T10,T10,T10,T10
,1.5,T10,T10,T10,T10,T10,T10
,2.2,T10,T10,T10,T10,T12,T20
,3.7,T12,T12,T12,T20,T20,T21
,5.5,T20,T20,T20,T21,T21,T25
,7.5,T20,T21,T21,T25,T32､T35,T50
,11,T25,T25,T32､T35,T32､T35,T50,T65
,15,T32､T35,T32､T35,T50,T50,T50,T100
,18.5,T50,T50,T50,T65,T65,N125
,22,T50,T50,T65,T65,N125,N150
,30,T65,T65,N125,N125,N150,N220
,37,T80,T100,N125,N150,N180,N220
,45,T100,N125,N150,N180,N220,N300
,55,N125,N150,N220,N220,N300,N600AB
