区　分,寸動運転を含む場合の三相モータ適用容量[kW],,,,,,,,,,,,逆相制動の定格容量[kW],,,
主回路電圧,200～220V,,,,,,380～440V,,,,,,200～220V,,380～440V,
寸動の％,10%,,50%,,100%,,10%,,50%,,100%,,逆相制動100%,,逆相制動100%,
"電気的耐久性
フレーム",,10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回 10万回 50万回,,,,,,,,,,,,,,
T10,2.2,0.75,0.75,－,0.75,－,2.2,1.5,1.5,0.75,0.75,－,－,－,－,－
T12,2.2,1.5,1.5,0.75,0.75,－,3.7,2.2,2.2,1.5,2.2,0.75,0.75,－,0.75,－
T20,3.7,2.2,2.2,0.75,1.5,0.75,3.7,3.7,3.7,2.2,3.7,1.5,1.5,－,2.2,0.75
T21,3.7,2.2,3.7,1.5,2.2,0.75,7.5,5.5,5.5,2.2,3.7,2.2,2.2,0.75,3.7,1.5
T25,5.5,3.7,3.7,1.5,2.2,1.5,11,7.5,7.5,3.7,5.5,2.2,2.2,0.75,3.7,2.2
T32,7.5,3.7,5.5,2.2,3.7,1.5,11,7.5,7.5,3.7,7.5,2.2,3.7,1.5,3.7,2.2
T35,7.5,5.5,5.5,2.2,3.7,1.5,11,7.5,7.5,3.7,7.5,2.2,3.7,1.5,3.7,2.2
T50,11,7.5,7.5,3.7,5.5,2.2,22,15,15,7.5,11,5.5,5.5,2.2,7.5,3.7
T65,15,11,11,3.7,7.5,3.7,30,18.5,22,7.5,11,5.5,7.5,2.2,11,5.5
T80,18.5,11,11,3.7,7.5,3.7,37,18.5,22,7.5,15,7.5,7.5,2.2,11,5.5
T100,22,11,11,5.5,7.5,3.7,45,22,22,7.5,18.5,7.5,7.5,2.2,15,5.5
N125,30,15,15,7.5,11,5.5,55,22,30,11,22,7.5,11,3.7,18.5,15
N150,37,18.5,18.5,7.5,15,5.5,－,30,37,15,22,11,15,5.5,22,15
N180,45,22,22,11,15,7.5,－,37,45,18.5,30,11,15,5.5,22,15
N220,55,22,22,11,18.5,7.5,－,45,45,22,37,15,18.5,7.5,30,18.5
N300,－,30,30,15,22,11,－,55,55,30,45,22,22,11,45,18.5
N400,－,30,37,15,22,11,－,－,－,30,45,22,22,11,45,18.5
N600AB,－,37,45,22,37,15,－,－,－,37,55,30,37,15,55,30
N800AB,－,45,55,30,45,22,－,－,－,45,－,45,45,18.5,－,37
