適用標準三相かご形モータ,,,"主及びデルタ用電磁接触器
(MCM， MCD)","スター用電磁接触器（MCS)
（注1）","サーマルリレー(THR)
（注2）",
定格電圧[V],定格容量[kW],定格電流[A],,"短絡方式：スター短絡時(図1,2)
[デルタ短絡時(図1に適用可)]",形　名,ヒータ呼び
AC200～220V,5.5,26,S-T20,S-T10･[S-T10],TH-T25,22A
,7.5,34,S-T21,S-T12･[S-T10],TH-T65,29A
,11,48,S-T35,S-T20･[S-T10],TH-T65,42A
,15,65,S-T50,S-T25･[S-T12],TH-T65,54A
,18.5,79,S-T50,S-T35･[S-T20],TH-N120,67A
,22,93,S-T65,S-T35･[S-T20],TH-N120,82A
,30,124,S-T80,S-T50･[S-T25],TH-N120TAHZ,105A
,37,152,S-T100,S-T65･[S-T35],TH-N120TAHZ,125A
,45,180,S-N125,S-T65･[S-T35],TH-N220HZ,150A
,55,220,S-N150,S-T80･[S-T50],TH-N220HZ,180A
,75,300,S-N180,S-T100･[S-T65],TH-N400HZ,250A
,90,360,S-N220,S-N125･[S-T80],TH-N400HZ,330A
,110,440,S-N300,S-N150･[S-T100],TH-N400HZ,330A
,132,528,S-N300,S-N180･[S-N125],TH-N600+CT,500A
,160,640,S-N400,S-N220･[S-N125],TH-N600+CT,660A
,200,800,S-N600AB,S-N300･[S-N180],TH-N600+CT,660A
AC400～･440V,5.5,13,S-T12,S-T10･[S-T10],TH-T25,11A
,7.5,17,S-T20,S-T10･[S-T10],TH-T25,15A
,11,24,S-T20,S-T12･[S-T10],TH-T25,22A
,15,32.5,S-T21,S-T20･[S-T10],TH-T65,29A
,18.5,39.5,S-T25,S-T20･[S-T12],TH-T65,35A
,22,46.5,S-T35,S-T20･[S-T12],TH-T65,42A
,30,62,S-T50,S-T25･[S-T20],TH-T65,54A
,37,76,S-T50,S-T35･[S-T20],TH-N120,67A
,45,90,S-T65,S-T35･[S-T20],TH-N120,82A
,55,110,S-T65,S-T50･[S-T25],TH-N120TAHZ,105A
,75,150,S-T100,S-T65･[S-T35],TH-N120TAHZ,125A
,90,180,S-N125,S-T65･[S-T50],TH-N220HZ,150A
,110,220,S-N150,S-T80･[S-T50],TH-N220HZ,180A
,132,264,S-N180,S-T100･[S-T65],TH-N400HZ,250A
,160,320,S-N220,S-N125･[S-T65],TH-N400HZ,330A
,200,400,S-N300,S-N150･[S-T80],TH-N400HZ,330A
,250,500,S-N300,S-N180･[S-N125],TH-N600+CT,500A
,300,600,S-N400,S-N220･[S-N125],TH-N600+CT,500A
