"適用
フレーム","AC-1級定格使用電流
[A]",,,AC-1級定格容量[kW],,,,,"AC-1級定格使用
電流(3極並列)
[A]（注1）","DC1級定格使用電流3極直列（2極直列）
[A]",,,
,,,,三相,,,単相,,,,,,
,200～240V,400～440V,500～550V,200～240V,400～440V,500～550V,100～110V,200～240V,200～240V,24V,48V,110V,220V
T10,20,11,8,6.5,8,7,2,4,40,10(10),10(10),8(6),8(3)
T12,20,13,11,6.5,10,9.5,2,4,40,12(12),12(12),12(10),12(7)
T20,20,18,17,6.5,12,14.5,2,4,40,18(18),18(18),18(13),18(8)
T21,32,32,32,11,22,25,3.2,6.4,64,20(20),20(20),20(15),20(10)
T25､T32,32,32,32,11,22,25,3.2,6.4,64,25(25),25(25),25(25),22(12)
T35,60,60,60,20,40,50,6,12,120,35(35),35(35),35(25),30(12)
T50,80,80,60,27,55,50,8,16,160,50(50),50(40),50(35),40(15)
T65,100,100,100,34,68,85,10,20,200,65(50),65(40),65(35),50(15)
T80,120,120,100,41,83,85,12,24,240,80(80),80(65),80(50),60(20)
T100,150,150,150,50,100,120,15,30,300,93(93),93(93),93(80),70(50)
N125,150,150,150,50,100,120,15,30,330,,120(120) 120(100),100(80),80(50)
N150,200,200,200,65,130,170,20,40,400,,150(150) 150(120) 150(100) 150(100),,
N180,260,260,260,90,180,220,26,52,520,,180(180) 180(180) 180(150) 180(150),,
N220,260,260,260,90,180,220,26,52,520,,220(220) 220(180) 220(150) 220(150),,
N300,350,350,350,120,240,300,35,70,700,,300(300) 300(240) 300(200) 300(200),,
N400,450,450,450,155,310,380,45,90,800,,400(400) 400(240) 400(200) 300(200),,
N600AB,660,660,660,220,440,570,63,126,1200,,630(630) 630(630) 630(630) 630(630),,
N800AB,800,800,800,270,540,700,80,160,1600,,800(800) 800(800) 800(630) 800(630),,
