"適用
フレーム",三相、6％以上直列リアクトル付（注1）,,,,三相、直列リアクトルなし（注2、3）,,,,単相、直列リアクトルなし（注2、3）,,,
,200～220V,,400～440V,,200～220V,,400～440V,,200～220V,,400～440V,
,容量[kvar],電流[A],容量[kvar],電流[A],容量[kvar],電流[A],容量[kvar],電流[A],容量[kvar],電流[A],容量[kvar],電流[A]
T10,3.8,11,4.8,7,2,6,3,4.3,1.2,6,1.7,4.3
T12,4.5,13,6.2,9,3,9,4,6,1.8,9,2.4,6
T20,4.8,14,9.6,14,4,12,8.3,12,2.4,12,4.8,12
T21,6.9,20,13,20,5,15,10,15,3,15,6,15
"T25,･T32",7.6,22,15,22,7.6,22,15,22,4.4,22,8.8,22
T35,12,35,22,32,11,32,20,30,6.4,32,12,30
T50,17,50,31,46,15,45,27,40,9,45,16,40
T65,22,65,42,62,17,50,34,50,10,50,20,50
T80,27,80,51,75,22,65,40,60,13,65,24,60
T100,32,93,64,93,30,90,60,90,18,90,36,90
N125,36,105,72,105,34,100,69,100,20,100,40,100
N150,48,140,96,140,45,130,90,130,26,130,52,130
N180,62,180,124,180,62,180,124,180,36,180,72,180
N220,62,180,124,180,62,180,124,180,36,180,72,180
N300,84,245,169,245,80,230,160,230,46,230,92,230
N400,109,315,218,315,100,300,200,300,60,300,120,300
N600AB,159,461,319,461,150,430,300,430,86,430,172,430
N800AB,193,559,387,559,170,500,350,500,100,500,200,500
