,MELSEC-Qシリーズ,,,,,,,,,,MELSEC-FXシリーズ,,,,,,,
,出力ユニット,,,,,,,,入出力混合ユニット,,出力ユニット,,,,,,,
,"接点出力
[回]",,トライアック出力,,トランジスタ出力,,,,トランジスタ出力,,"接点出力
[回]",,トライアック出力,,トランジスタ出力,,,
,"QY10(-TS)
QY18A",,"QY22
バリスタ無",,"QY40P(-TS)
QY41P
QY42P
QY81P
QY82P",QY41H,"QY50
QY80(-TS)",QY68A,"QH42P
QX41Y41P",QX48Y57,"FX3S-□MR
FX3U-□MR
FX2N-□E(Y)R
FX2NC-16EYR-T
FX-16EYR-TB
FX3G-□MR",,"FX2N-32ES
FX2N-16EYS
FX-16EYS-TB
FX3U-□MS",,"FX3S-□MT
FX2N-□E(Y)T
FX-16EYT-TB
FX3U-□MT
FX3G-□MT",FX2N-16EYT-C,"FX3GC-32MT
FX2NC-□EYT
FX3UC-□MT",
,AC100V,AC200V,AC100V,AC200V,UN-SY□／UT-SY□使用　DC24V,,,,"UN-SY□／UT-SY□使用
DC24V",,"AC100V
AC200V",,AC100V,AC200V,UN-SY□／UT-SY□使用　DC24V,,,
,"○
100万","○
200万",○,○,○,,,,◯,,"○
300万",,◯,◯,○,,,T5／9
,"○
100万","○
200万",○,○,○,,,,◯,,"○
300万",,◯,◯,○,,,"T10／
12／20"
,"○
100万","○
200万",○,○,○,,,,◯,,"○
300万",,◯,◯,○,,,T21／25
,"○
150万","○
200万",○,○,○,,,,◯,,"○
300万",,◯,◯,○,,,T32
,"○
50万","○
100万",○,○,○,,,,◯,,"○
300万",,◯,◯,○,,,T35／50
,"○
50万","○
100万",○,×,○,,,,◯,,"○
300万",,◯,×,○,,,T65／80
,"○
50万","○
50万",○,×,○,,,,◯,,"○
300万",,◯,×,○,,,T100
,"○
50万","○
50万",○,×,○,,,,◯,,"○
100万",,◯,×,○,,,"N125／
150"
,"○
30万","○
40万",○,×,○,,,,◯,,"○
20万",,◯,×,○,,,"N180／
220"
,"○
20万","○
40万",○,×,○,,,,◯,,"○
20万",,◯,×,○,,,"N300／
400"
,×,"○
20万",×,×,×,,,,×,,×,,×,×,×,,,"N600AB
／800AB"
,"◯
100万","◯
100万",,,◯,◯,◯,◯,◯,◯,"○
100万",,,,◯,◯,◯,Q／QR
,DC24V,DC110V,,,,,,,,,DC24V,DC110V,,,,,,
,"○
30万","○
30万",,,"○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
15万",×,,,"○
DC24V","○
DC24V","○
DC24V",T5／9
,"○
30万","○
30万",,,"○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
15万",×,,,"○
DC24V","○
DC24V","○
DC24V",T12／20
,"○
30万","○
30万",,,"○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
10万",×,,,"○
DC24V","○
DC24V","○
DC24V",T21／32
,×,×,,,×,×,"○
DC24V","○
DC24V",×,"○
DC24V","○
10万",×,,,"○
DC24V",×,×,T35／50
,×,×,,,×,×,×,"○
DC24V",×,×,×,×,,,×,×,×,T65／80
,×,×,,,×,×,×,"○
DC24V",×,×,×,×,,,×,×,×,T100
,×,×,,,×,×,×,"○
DC24V",×,×,×,×,,,×,×,×,"N125／
150"
,×,×,,,×,×,×,×,×,×,×,×,,,×,×,×,N220
,×,×,,,×,×,×,×,×,×,×,×,,,×,×,×,"N300／
400"
,×,×,,,×,×,×,×,×,×,×,×,,,×,×,×,"N600AB
／800AB"
,投入,引外,投入,引外,,,,,,,投入,引外,投入,引外,,,,
,"○
50万","○
50万",◯,◯,,,,,,,"○
50万","○
50万",○,○,,,,T5
,"○
50万","○
50万",◯,◯,,,,,,,"○
50万","○
50万",○,○,,,,T21
,"○
50万","○
50万",◯,◯,,,,,,,"○
50万","○
50万",○,○,,,,T35／50
,"○
25万","○
25万",◯,◯,,,,,,,"○
25万","○
25万",○,○,,,,T65／80
,"○
25万","○
25万",◯,◯,,,,,,,"○
25万","○
25万",○,○,,,,T100
,"○
25万","○
25万",◯,◯,,,,,,,"○
25万","○
25万",×,○,,,,"N125／
150"
,"○
25万","○
25万",◯,◯,,,,,,,"○
25万","○
25万",×,×,,,,N220
,"○
25万",×,◯,×,,,,,,,"○
25万",×,×,×,,,,"N300／
400"
,×,×,×,◯,,,,,,,×,×,×,×,,,,"N600AB
／800AB"
