適　用　機　種,,,,CC-Link Safety,,CC-Link LT,,,,
"区
　　　　　
分",,,,出力ユニット,入出力混合ユニット,出力ユニット,,入出力混合ユニット,,
,,形　名,,トランジスタ出力,トランジスタ出力,トランジスタ出力,,トランジスタ出力,,
,,"SR-T，
SRD-T
：電磁継電器
S-T/N，
SD-T/N
：電磁接触器
SD-Q
： 高感度 
コンタクタ","操  作 
コイル 
呼  び",QS0J65BTS2-4T,QS0J65BTB2-12DT,"CL1Y4-T1B2
CL2Y8-TP1B2
CL1Y4-T1S2
CL2Y8-TP1S2
CL2Y8-TPE1S2
CL2Y16-TPE1M1V","CL1Y4-T1C2
CL2Y8-TP1C2V
CL2Y16-TP1C2V
CL2Y16-TP1M1V
CL2Y16-TP1MJ1V
CL1Y2-T1D2S","CL1XY2-DT1D5S
CL1XY4-DT1B2","CL1XY8-DT1B2
CL2XY16-DTP1C5V",
交 　流 　操 　作,,,"AC100V･
AC200V","UN-SY□／UT-SY□使用
DC24V(注1)","UN-SY□／UT-SY□使用
DC24V(注1)",UN-SY□／UT-SY□使用　DC24V,,,,
,,"SR-T5,T9",,○,○,○,○,○,○,T5／9
,,"S-T10,T12,T20",,○,○,○,○,○,○,"T10／
12／20"
,,"S-T21,T25",,○,○,○,○,○,○,T21／25
,,S-T32,,○,○,○,○,○,○,T32
,,S-T35／T50,,○,○,○,○,○,○,T35／50
,,S-T65／T80,,○,○,○,○,○,○,T65／80
,,S-T100,,○,○,○,○,○,○,T100
,,"S-N125,N150",,○,○,○,○,○,○,"N125／
150"
,,"S-N180／
N220",,○,○,○,○,○,○,"N180／
220"
,,"S-N300／
N400",,○,○,○,○,○,○,"N300／
400"
,,"S-N600AB／
N800AB",,×,×,×,×,×,×,"N600AB
／800AB"
直 　流 　操 　作,,"SD-Q□,QR□",DC24V,"○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V",Q／QR
,,,"DC24V･
DC110V",,,,,,,
,,"SRD-T5,T9",,"○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V",T5／9
,,SD-T12／T20,,"○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V",T12／20
,,SD-T21／T32,,"○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V","○
DC24V",T21／32
,,SD-T35／T50,,"○
DC24V","○
DC24V",×,×,×,×,T35／50
,,SD-T65／T80,,×,×,×,×,×,×,T65／80
,,SD-T100,,×,×,×,×,×,×,T100
,,"SD-N125,N150",,×,×,×,×,×,×,"N125／
150"
,,SD-N220,,×,×,×,×,×,×,N220
,,"SD-N300／
N400",,×,×,×,×,×,×,"N300／
400"
,,"SD-N600AB／
N800AB",,×,×,×,×,×,×,"N600AB
／800AB"
機 　械 　ラ 　ッ 　チ 　式,交 　流 　操 　作,,"AC100V･
AC200V",,,,,,,
,,SRL-T5,,,,,,,,T5
,,SL-T21,,,,,,,,T21
,,SL-T35／T50,,,,,,,,T35／50
,,SL-T65／T80,,,,,,,,T65／80
,,SL-T100,,,,,,,,T100
,,"SL-N125,N150",,,,,,,,"N125／
150"
,,SL-N220,,,,,,,,N220
,,"SL-N300／
N400",,,,,,,,"N300／
400"
,,"SL-N600AB／
N800AB",,,,,,,,"N600AB
／800AB"
