電圧,"モータ出力
（kW）","適用インバータ形名
（ND定格）",入力側電磁接触器　（注1）,,推奨電線サイズ(mm2)　（注2）,,
,,,"力率改善(AC又はDC)
リアクトル接続",,R/L1、S/L2、T/L3,,Ｕ、Ｖ、Ｗ
,,,,,"力率改善(AC又はDC)
リアクトル接続",,
,,,無,有,無,有,
"三相200V
クラス",0.1,FR-E820-0.1K(0008),S-T10,S-T10,2,2,2
,0.2,FR-E820-0.2K(0015),S-T10,S-T10,2,2,2
,0.4,FR-E820-0.4K(0030),S-T10,S-T10,2,2,2
,0.75,FR-E820-0.75K(0050),S-T10,S-T10,2,2,2
,1.5,FR-E820-1.5K(0080),S-T10,S-T10,2,2,2
,2.2,FR-E820-2.2K(0110),S-T10,S-T10,2,2,2
,3.7,FR-E820-3.7K(0175),S-T21,S-T10,3.5,3.5,3.5
,5.5,FR-E820-5.5K(0240),S-T35,S-T21,5.5,5.5,5.5
,7.5,FR-E820-7.5K(0330),S-T35,S-T35,14,8,8
,11,FR-E820-11K(0470),S-T35,S-T35,14,14,14
,15,FR-E820-15K(0600),S-T50,S-T50,22,22,22
,18.5,FR-E820-18.5K(0760),S-T65,S-T50,38,22,22
,22,FR-E820-22K(0900),S-T100,S-T65,38,38,38
"三相400V
クラス",0.4,FR-E840-0.4K(0016),S-T10,S-T10,2,2,2
,0.75,FR-E840-0.75K(0026),S-T10,S-T10,2,2,2
,1.5,FR-E840-1.5K(0040),S-T10,S-T10,2,2,2
,2.2,FR-E840-2.2K(0060),S-T10,S-T10,2,2,2
,3.7,FR-E840-3.7K(0095),S-T10,S-T10,2,2,2
,5.5,FR-E840-5.5K(0120),S-T21,S-T12,3.5,2,2
,7.5,FR-E840-7.5K(0170),S-T21,S-T21,3.5,3.5,3.5
,11,FR-E840-11K(0230),S-T21,S-T21,5.5,5.5,5.5
,15,FR-E840-15K(0300),S-T35,S-T21,8,8,8
,18.5,FR-E840-18.5K(0380),S-T35,S-T35,14,8,8
,22,FR-E840-22K(0440),S-T35,S-T35,14,14,14
