電圧,"モータ出力
（kW）",適用インバータ形名,入力側電磁接触器　（注1）,,推奨電線サイズ(mm2)　（注2）,,
,,,"力率改善(AC又はDC)
リアクトル接続",,R/L1、S/L2、T/L3,,Ｕ、Ｖ、Ｗ
,,,,,"力率改善(AC又はDC)
リアクトル接続",,
,,,無,有,無,有,
"200V
クラス",0.1,FR-D720-0.1K,S-T10,S-T10,2,2,2
,0.2,FR-D720-0.2K,S-T10,S-T10,2,2,2
,0.4,FR-D720-0.4K,S-T10,S-T10,2,2,2
,0.75,FR-D720-0.75K,S-T10,S-T10,2,2,2
,1.5,FR-D720-1.5K,S-T10,S-T10,2,2,2
,2.2,FR-D720-2.2K,S-T10,S-T10,2,2,2
,3.7,FR-D720-3.7K,S-T21,S-T10,3.5,3.5,3.5
,5.5,FR-D720-5.5K,S-T35,S-T21,5.5,5.5,5.5
,7.5,FR-D720-7.5K,S-T35,S-T35,14,8,8
,11,FR-D720-11K,S-T35,S-T35,14,14,14
,15,FR-D720-15K,S-T50,S-T50,22,22,22
"400V
クラス",0.4,FR-D740-0.4K,S-T10,S-T10,2,2,2
,0.75,FR-D740-0.75K,S-T10,S-T10,2,2,2
,1.5,FR-D740-1.5K,S-T10,S-T10,2,2,2
,2.2,FR-D740-2.2K,S-T10,S-T10,2,2,2
,3.7,FR-D740-3.7K,S-T10,S-T10,2,2,2
,5.5,FR-D740-5.5K,S-T21,S-T12,3.5,2,2
,7.5,FR-D740-7.5K,S-T21,S-T21,3.5,3.5,3.5
,11,FR-D740-11K,S-T21,S-T21,5.5,5.5,5.5
,15,FR-D740-15K,S-T35,S-T21,8,5.5,5.5
