サーボアンプ形名,"電磁接触器(注3,6)",電線サイズ[mm2](注5),,,
,,"L1, L2, L3,","L11, L21","P+, C","U, V, W, E"
MR-J4-10GF(1)/B(1)/A(1),S-T10,2(AWG･14),"1.25～2
(AWG･16～14)",2(AWG･14)(注1),AWG･18～14(注4)
MR-J4-20GF/B/A,S-T10,,,,
MR-J4-20GF1/B1/A1,S-T10,,,,
MR-J4-40GF/B/A,S-T10,,,,
MR-J4-40GF1/B1/A1,S-T10,,,,
MR-J4-60GF/B/A,S-T10,,,,
MR-J4-70GF/B/A,S-T10,,,,
"MR-J4-100GF/B/A
(三相電源入力)",S-T10,,,,
"MR-J4-100GF/B/A
(単相電源入力)",S-T10,,,,
"MR-J4-200GF/B/A
(三相電源入力)",S-T21,,,,AWG･16～10(注4)
"MR-J4-200GF/B/A
(単相電源入力)",S-T21,3.5(AWG･12),,,
MR-J4-350GF/B/A,S-T21,,,,
MR-J4-500GF/B/A(注2),S-T35,5.5(AWG･10),,,2～5.5(AWG･14～10)
MR-J4-700GF/B/A(注2),S-T50,8(AWG･8),,,2～8(AWG･14～8)
MR-J4-11KGF/B/A(注2),S-T50,14(AWG･6),,3.5(AWG･12)(注1),"5.5(AWG･10),
8(AWG･8),
14(AWG･6)"
MR-J4-15KGF/B/A(注2),S-T65,22(AWG･4),,5.5(AWG･10)(注1),"8(AWG･8),
22(AWG･4)"
MR-J4-22KGF/B/A(注2),S-T100,38(AWG･2),,,38(AWG･2)
MR-J4-60GF4/B4/A4,S-T10,2(AWG･14),,2(AWG･14)(注1),AWG･16～14(注4)
MR-J4-100GF4/B4/A4,S-T10,2(AWG･14),,,
MR-J4-200GF4/B4/A4,S-T10,2(AWG･14),,,
MR-J4-350GF4/B4/A4,S-T21,2(AWG･14),,,
MR-J4-500GF4/B4/A4(注2),S-T21,2(AWG･14),,,3.5(AWG･12)
MR-J4-700GF4/B4/A4(注2),S-T21,3.5(AWG･12),,,5.5(AWG･10)
MR-J4-11KGF4/B4/A4(注2),S-T35,5.5(AWG･10),,,8(AWG･8)
MR-J4-15KGF4/B4/A4(注2),S-T35,8(AWG･8),,3.5(AWG･12)(注1),
MR-J4-22KGF4/B4/A4(注2),S-T50,14(AWG･6),,,"5.5(AWG･10),
8(AWG･8),
14(AWG･6)"
